participant_id,wioa_participant,program_code,entry_date,exit_date,exit_type,funding_sources
445-27-0425,YES,775906,09/19/2016,03/19/2017,Transferred,Federal
462-94-3500,NO,623330,02/18/2011,06/18/2013,Completed,State
105-30-3319,NO,256443,04/09/2015,06/09/2015,Suspended,Self
535-49-3914,NO,758060,01/22/2011,06/22/2011,Completed,Federal
576-45-5554,YES,840724,10/07/2011,01/07/2012,Suspended,Federal
555-48-6089,NO,908157,06/11/2016,07/11/2016,Completed,Federal
838-42-6638,YES,139974,05/01/2016,06/01/2016,Withdrew,State
880-56-6377,NO,375676,06/23/2017,07/18/2017,Transferred,Federal
361-97-5665,YES,459716,04/12/2016,09/12/2016,Transferred,Federal
778-99-9036,YES,952,03/19/2017,03/19/2019,Withdrew,State
791-56-7637,YES,476738,05/10/2017,11/10/2017,Withdrew,Federal
138-35-6887,NO,699766,10/15/2012,01/15/2013,Transferred,State
886-72-0594,NO,670137,02/05/2015,04/05/2015,Completed,Federal
826-08-0244,NO,470435,05/28/2011,09/28/2011,Transferred,Federal
604-16-5608,YES,222287,02/08/2014,05/08/2016,Transferred,Federal
653-06-7218,YES,799953,02/27/2012,03/27/2012,Withdrew,Federal
781-06-3761,YES,378161,12/20/2013,03/20/2015,Completed,State
242-05-3511,NO,107729,06/23/2012,09/23/2012,Suspended,State
456-90-1807,NO,922116,02/09/2011,06/09/2016,Withdrew,State
688-96-4447,NO,762015,07/28/2017,07/28/2019,Completed,State
410-86-4721,NO,297627,10/02/2015,10/02/2016,Withdrew,Federal
421-58-9179,YES,190972,11/08/2015,30/08/2015,Withdrew,Self
731-60-5417,NO,867621,05/27/2010,05/27/2012,Suspended,Federal
851-73-9812,NO,478209,10/10/2014,03/10/2015,Suspended,State
313-76-9896,NO,364944,10/18/2016,10/18/2018,Suspended,State
354-47-4170,NO,484083,05/12/2014,09/12/2014,Transferred,State
744-79-2573,YES,371833,08/12/2010,12/12/2010,Withdrew,State
393-08-1147,NO,475844,06/25/2011,12/25/2011,Transferred,Federal
417-18-6485,YES,681001,08/04/2013,11/04/2017,Completed,Federal
243-06-4146,YES,960383,02/01/2015,05/01/2017,Completed,Federal
531-51-3302,YES,20397,11/24/2014,02/24/2015,Transferred,State
741-27-4005,YES,329414,04/18/2013,05/18/2013,Completed,Federal
551-81-6144,YES,849346,09/09/2016,10/09/2017,Completed,Federal
810-48-1514,YES,51912,09/17/2013,10/17/2017,Transferred,State
239-37-6711,NO,14334,12/18/2012,04/18/2013,Withdrew,State
638-54-4918,YES,889318,05/11/2010,07/11/2014,Completed,State
839-07-8499,YES,999185,08/17/2016,08/17/2018,Suspended,State
818-94-0769,YES,884803,11/07/2013,01/07/2014,Transferred,State
116-58-0685,NO,760938,10/18/2013,11/18/2013,Completed,Self
265-80-1277,NO,57009,11/06/2010,11/06/2012,Completed,Federal
883-66-9870,YES,36788,05/20/2011,08/20/2013,Transferred,State
326-08-9521,NO,138196,06/29/2017,08/29/2017,Transferred,State
499-26-9057,NO,918969,02/25/2011,07/25/2012,Completed,Federal
781-35-9960,NO,266879,05/26/2010,09/26/2010,Transferred,State
829-96-3945,YES,857444,09/03/2014,03/03/2015,Transferred,Federal
369-47-3257,YES,138351,03/02/2015,08/02/2015,Completed,State
327-23-4165,NO,726367,01/20/2015,01/20/2017,Suspended,State
792-51-0844,NO,159274,10/05/2011,02/05/2012,Transferred,State
473-23-4577,YES,892167,03/14/2017,09/14/2017,Transferred,Federal
776-91-9889,YES,76603,09/14/2012,01/14/2013,Completed,Federal
